vehicleTypeId,curbWeightInKg,curbWeightSource
2022_Honda_Odysseyc6,2450,van/minivan keyword in vehicleTypeId; plug-in hybrid adjustment
2022_Toyota_Prius_v,1700,default passenger-car weight
2022_Buick_LaCrosse_eAssist,1700,default passenger-car weight
2022_Ram_1500_4WDc6,2850,pickup keyword in vehicleTypeId; plug-in hybrid adjustment
2022_Tesla_Model_S_(60_kW-hr_battery_pack),2100,default passenger-car weight; battery-electric adjustment
2022_Kia_Optimac4,1950,default passenger-car weight; plug-in hybrid adjustment
2022_Honda_CR-V_4WDc3,2350,suv/crossover keyword in vehicleTypeId; plug-in hybrid adjustment
2022_Honda_Clarity_FCV,1850,default passenger-car weight; fuel-cell adjustment
2022_Toyota_Highlander_2WD,2100,suv/crossover keyword in vehicleTypeId
2022_Chevrolet_City_Express_Cargo_Van,2200,van/minivan keyword in vehicleTypeId
2022_Kia_Optima,1700,default passenger-car weight
2022_Infiniti_QX60_Hybrid_FWD,1700,default passenger-car weight
2022_Toyota_Sienna_2WD,1700,default passenger-car weight
2022_Chevrolet_Silverado_C15_2WD,2600,pickup keyword in vehicleTypeId
2022_Honda_Odysseyc5,2600,van/minivan keyword in vehicleTypeId; battery-electric adjustment
2022_Hyundai_Tucson_Fuel_Cell,1850,default passenger-car weight; fuel-cell adjustment
2022_Tesla_Model_Ye3,2100,default passenger-car weight; battery-electric adjustment
2027_Chevrolet_Silverado_K15_4WD,2600,pickup keyword in vehicleTypeId
2027_Audi_S3c6,1950,default passenger-car weight; plug-in hybrid adjustment
2027_Chrysler_Town_and_Countryc4,1950,default passenger-car weight; plug-in hybrid adjustment
2027_Infiniti_QX60_Hybrid_FWD,1700,default passenger-car weight
2027_Tesla_Model_Ye3,2100,default passenger-car weight; battery-electric adjustment
2027_Toyota_Highlander_2WD,2100,suv/crossover keyword in vehicleTypeId
2027_Toyota_Mirai,1850,default passenger-car weight; fuel-cell adjustment
2027_Honda_Odysseyc5,2350,van/minivan keyword in vehicleTypeId; fuel-cell adjustment
2027_Subaru_Outback_AWDc2,1950,default passenger-car weight; plug-in hybrid adjustment
2027_Lexus_ES_350c3,2100,default passenger-car weight; battery-electric adjustment
2027_Buick_LaCrosse_eAssist,1700,default passenger-car weight
2027_Chevrolet_City_Express_Cargo_Van,2200,van/minivan keyword in vehicleTypeId
2027_Toyota_Sienna_2WD,1700,default passenger-car weight
2027_Toyota_Prius_v,1700,default passenger-car weight
2027_Ram_1500_4WDc6,2750,pickup keyword in vehicleTypeId; fuel-cell adjustment
2027_Honda_CR-V_4WDc5,2250,suv/crossover keyword in vehicleTypeId; fuel-cell adjustment
2027_GMC_Sierra_K15_4WDc2,2100,default passenger-car weight; battery-electric adjustment
2027_Chrysler_200,1700,default passenger-car weight
2028_Tesla_Model_Ye3,2100,default passenger-car weight; battery-electric adjustment
2028_Toyota_Avalonc6,2100,default passenger-car weight; battery-electric adjustment
2028_Honda_Odysseyc5,2350,van/minivan keyword in vehicleTypeId; fuel-cell adjustment
2028_Toyota_Mirai,1850,default passenger-car weight; fuel-cell adjustment
2028_Honda_CR-V_4WDc5,2250,suv/crossover keyword in vehicleTypeId; fuel-cell adjustment
2028_Toyota_Highlander_2WD,2100,suv/crossover keyword in vehicleTypeId
2028_Chrysler_Town_and_Countryc4,1950,default passenger-car weight; plug-in hybrid adjustment
2028_Chrysler_200,1700,default passenger-car weight
2028_Ram_1500_4WDc6,2850,pickup keyword in vehicleTypeId; plug-in hybrid adjustment
2028_Toyota_Sienna_2WD,1700,default passenger-car weight
2028_Chevrolet_Silverado_K15_4WD,2600,pickup keyword in vehicleTypeId
2028_Infiniti_QX60_Hybrid_FWD,1700,default passenger-car weight
2028_Audi_S3c6,1950,default passenger-car weight; plug-in hybrid adjustment
2028_GMC_Sierra_K15_4WDc2,2100,default passenger-car weight; battery-electric adjustment
2028_Subaru_Outback_AWDc2,1950,default passenger-car weight; plug-in hybrid adjustment
2028_Buick_LaCrosse_eAssist,1700,default passenger-car weight
2028_Chevrolet_City_Express_Cargo_Van,2200,van/minivan keyword in vehicleTypeId
2028_Toyota_Prius_v,1700,default passenger-car weight
