payloadType,vehicleCategory
bulk,T7 Single Dump Class 8
bulk,T7 Single Concrete/Transit Mix Class 8
bulk,T7 Tractor Class 8
bulk,T7 CAIRP Class 8
bulk,T7 NNOOS Class 8
bulk,T7 Single Other Class 8
fuel_fert,T7 Single Other Class 8
fuel_fert,T7 Tractor Class 8
fuel_fert,T7 CAIRP Class 8
fuel_fert,T7 NNOOS Class 8
fuel_fert,T7 Single Dump Class 8
fuel_fert,T6 Instate Other Class 7
interm_food,T7 Tractor Class 8
interm_food,T7 CAIRP Class 8
interm_food,T6 Instate Delivery Class 7
interm_food,T6 Instate Delivery Class 6
interm_food,T7 NNOOS Class 8
mfr_goods,T7 Tractor Class 8
mfr_goods,T7 CAIRP Class 8
mfr_goods,T7 NNOOS Class 8
mfr_goods,T6 Instate Delivery Class 6
mfr_goods,T6 Instate Delivery Class 5
mfr_goods,LHD1
mfr_goods,LHD2
mfr_goods,MDV
mfr_goods,T7 Single Other Class 8
mfr_goods,T7 Single Dump Class 8
