naics_source,naics_code,match_level,naics_label,vehicleCategory
seller,3273,4,Cement and Concrete Product Manufacturing,T7 Single Concrete/Transit Mix Class 8
seller,3273,4,Cement and Concrete Product Manufacturing,T7 Single Dump Class 8
seller,3273,4,Cement and Concrete Product Manufacturing,T7 Single Other Class 8
seller,3241,4,Petroleum and Coal Products Manufacturing,T7 Single Other Class 8
seller,3241,4,Petroleum and Coal Products Manufacturing,T7 Tractor Class 8
seller,3241,4,Petroleum and Coal Products Manufacturing,T7 NOOS Class 8
seller,4247,4,Petroleum and Petroleum Products Merchant Wholesalers,T7 Tractor Class 8
seller,4247,4,Petroleum and Petroleum Products Merchant Wholesalers,T7 Other Port Class 8
seller,4247,4,Petroleum and Petroleum Products Merchant Wholesalers,T7 NOOS Class 8
seller,311,3,Food Manufacturing,T7 Tractor Class 8
seller,311,3,Food Manufacturing,T7 CAIRP Class 8
seller,311,3,Food Manufacturing,T6 Instate Delivery Class 7
seller,311,3,Food Manufacturing,T6 Instate Delivery Class 6
seller,4244,4,Grocery and Related Product Merchant Wholesalers,T7 Tractor Class 8
seller,4244,4,Grocery and Related Product Merchant Wholesalers,T7 CAIRP Class 8
seller,4244,4,Grocery and Related Product Merchant Wholesalers,T6 Instate Delivery Class 6
seller,4244,4,Grocery and Related Product Merchant Wholesalers,T6 Instate Delivery Class 5
seller,484,3,Truck Transportation,T7 Tractor Class 8
seller,484,3,Truck Transportation,T7 CAIRP Class 8
seller,484,3,Truck Transportation,T7 NNOOS Class 8
seller,5621,4,Waste Collection,T7 SWCV Class 8
seller,5621,4,Waste Collection,T7 Single Dump Class 8
seller,5621,4,Waste Collection,T6 Instate Other Class 7
seller,5622,4,Waste Treatment and Disposal,T7 SWCV Class 8
seller,5622,4,Waste Treatment and Disposal,T7 Single Dump Class 8
seller,5622,4,Waste Treatment and Disposal,T7 Single Other Class 8
buyer,236,3,Construction of Buildings,T7 Single Concrete/Transit Mix Class 8
buyer,236,3,Construction of Buildings,T7 Single Dump Class 8
buyer,236,3,Construction of Buildings,T7 Single Other Class 8
buyer,237,3,Heavy and Civil Engineering Construction,T7 Single Dump Class 8
buyer,237,3,Heavy and Civil Engineering Construction,T7 Single Concrete/Transit Mix Class 8
buyer,237,3,Heavy and Civil Engineering Construction,T7 Single Other Class 8
buyer,238,3,Specialty Trade Contractors,T7 Single Dump Class 8
buyer,238,3,Specialty Trade Contractors,T7 Single Concrete/Transit Mix Class 8
buyer,238,3,Specialty Trade Contractors,T7 Single Other Class 8
buyer,622,3,Hospitals,T6 Instate Delivery Class 5
buyer,622,3,Hospitals,MDV
buyer,622,3,Hospitals,LHD1
buyer,722,3,Food Services and Drinking Places,T6 Instate Delivery Class 5
buyer,722,3,Food Services and Drinking Places,T6 Instate Delivery Class 6
buyer,722,3,Food Services and Drinking Places,LHD1
