emfac_vehicle_category,generic_vehicle_category,operation_days_per_year,idle_time_fraction
LDA,passenger_cars,347,
LDT1,light_duty_trucks,347,
LDT2,light_duty_trucks,347,
MDV,light_duty_trucks,347,
MH,other,327,
MCY,other,347,
LHD1,heavy_duty_trucks,327,0.3312
LHD2,heavy_duty_trucks,327,0.3312
T6 Public Class 4,medium_duty_trucks,312,0.3312
T6 Public Class 5,medium_duty_trucks,312,0.3312
T6 Public Class 6,medium_duty_trucks,312,0.3312
T6 Public Class 7,heavy_duty_trucks,312,0.3312
T6 Utility Class 5,medium_duty_trucks,312,0.4699
T6 Utility Class 6,medium_duty_trucks,312,0.4699
T6 Utility Class 7,heavy_duty_trucks,312,0.4699
T6 Instate Tractor Class 6,medium_duty_trucks,312,0.3122
T6 Instate Delivery Class 4,medium_duty_trucks,312,0.3312
T6 Instate Delivery Class 5,medium_duty_trucks,312,0.3312
T6 Instate Delivery Class 6,medium_duty_trucks,312,0.3312
T6 Instate Other Class 4,medium_duty_trucks,312,0.3312
T6 Instate Other Class 5,medium_duty_trucks,312,0.3312
T6 Instate Other Class 6,medium_duty_trucks,312,0.3312
T6 Instate Tractor Class 7,heavy_duty_trucks,312,0.3122
T6 Instate Delivery Class 7,heavy_duty_trucks,312,0.3312
T6 Instate Other Class 7,heavy_duty_trucks,312,0.3312
T6 CAIRP Class 4,medium_duty_trucks,312,0.3312
T6 CAIRP Class 5,medium_duty_trucks,312,0.3312
T6 CAIRP Class 6,medium_duty_trucks,312,0.3312
T6 CAIRP Class 7,heavy_duty_trucks,312,0.3312
T6 OOS Class 4,medium_duty_trucks,312,0.3312
T6 OOS Class 5,medium_duty_trucks,312,0.3312
T6 OOS Class 6,medium_duty_trucks,312,0.3312
T6 OOS Class 7,heavy_duty_trucks,312,0.3312
T6TS,medium_duty_trucks,327,0.3312
T7 Public Class 8,heavy_duty_trucks,312,0.3312
PTO,other,312,
T7 CAIRP Class 8,heavy_duty_trucks,312,0.1290
T7 Utility Class 8,heavy_duty_trucks,312,0.4699
T7 NNOOS Class 8,heavy_duty_trucks,312,0.1290
T7 NOOS Class 8,heavy_duty_trucks,312,0.1290
T7 Other Port Class 8,heavy_duty_trucks,312,0.3122
T7 POAK Class 8,heavy_duty_trucks,312,0.3122
T7 POLA Class 8,heavy_duty_trucks,312,0.3122
T7 Single Concrete/Transit Mix Class 8,heavy_duty_trucks,312,0.3312
T7 Single Dump Class 8,heavy_duty_trucks,312,0.3312
T7 Single Other Class 8,heavy_duty_trucks,312,0.3312
T7 Tractor Class 8,heavy_duty_trucks,312,0.1290
T7 SWCV Class 8,heavy_duty_trucks,312,0.3122
T7IS,heavy_duty_trucks,327,0.3312
SBUS,medium_duty_trucks,327,0.3098
UBUS,medium_duty_trucks,327,0.3550
Motor Coach,heavy_duty_trucks,292,0.5051
OBUS,medium_duty_trucks,327,0.5051
All Other Buses,medium_duty_trucks,327,0.5051
