group,emfac,beam,comments
freight,LDA,Class12aVocational,passenger cars occasionally used for small parcel or service trips
freight,LDT1,Class12aVocational,small pickup trucks and compact SUVs used for light-duty deliveries or service work
freight,LDT2,Class12aVocational,larger pickups and SUVs used for light-duty deliveries contractor work and small cargo hauling
freight,MDV,Class12aVocational,large vans and small box trucks like FedEx or UPS step vans and delivery vans
freight,LHD1,Class2b3Vocational,box trucks and large vans like moving trucks small freight trucks
freight,LHD2,Class2b3Vocational,larger box trucks and straight trucks used for local freight and moving services
freight,T6 CAIRP Class 4,Class456Vocational,medium box trucks delivery trucks and small dump trucks operating across states
freight,T6 CAIRP Class 5,Class456Vocational,larger box trucks beverage trucks and medium construction trucks operating across states
freight,T6 CAIRP Class 6,Class456Vocational,heavy box trucks large delivery trucks and construction trucks operating across states
freight,T6 CAIRP Class 7,Class78Tractor,heavy trucks sometimes used as tractors or large vocational trucks in interstate service
freight,T6 Instate Delivery Class 4,Class456Vocational,local delivery trucks like parcel vans and small box trucks
freight,T6 Instate Delivery Class 5,Class456Vocational,regional delivery trucks like beverage trucks food distribution trucks
freight,T6 Instate Delivery Class 6,Class456Vocational,large local delivery trucks like furniture trucks large box trucks
freight,T6 Instate Delivery Class 7,Class78Vocational,heavy local delivery trucks occasionally used for bulk goods distribution
freight,T6 Instate Other Class 4,Class456Vocational,small vocational trucks like landscaping trucks small dump trucks
freight,T6 Instate Other Class 5,Class456Vocational,medium vocational trucks like construction trucks utility service trucks
freight,T6 Instate Other Class 6,Class456Vocational,heavy vocational trucks like dump trucks utility repair trucks
freight,T6 Instate Other Class 7,Class78Vocational,very heavy vocational trucks like large dump trucks and construction vehicles
freight,T6 Instate Tractor Class 6,Class456Vocational,smaller tractor trucks pulling trailers for regional freight
freight,T6TS,Class456Vocational,miscellaneous medium trucks not clearly classified such as specialty service trucks
freight,T6 Instate Tractor Class 7,Class78Tractor,regional semi trucks pulling trailers within the state
freight,T6 OOS Class 4,Class456Vocational,small out-of-state delivery or service trucks entering the region
freight,T6 OOS Class 5,Class456Vocational,medium out-of-state freight or service trucks
freight,T6 OOS Class 6,Class456Vocational,large out-of-state box trucks and construction trucks
freight,T6 OOS Class 7,Class78Vocational,heavy out-of-state vocational trucks operating locally
freight,T7 CAIRP Class 8,Class78Tractor,long-haul semi trucks registered for interstate travel pulling trailers across states
freight,T7 NNOOS Class 8,Class78Vocational,long-haul trucks from distant states operating in the region
freight,T7 NOOS Class 8,Class78Vocational,regional interstate trucks from nearby states operating in the region
freight,T7 Single Concrete/Transit Mix Class 8,Class78Vocational,cement mixer trucks used in construction
freight,T7 Single Dump Class 8,Class78Vocational,large dump trucks used for construction and material hauling
freight,T7 Single Other Class 8,Class78Vocational,other heavy single-unit trucks like flatbeds or specialized construction trucks
freight,T7 Tractor Class 8,Class78Tractor,standard semi-trailer trucks used for long-haul freight movement
freight,T7IS,Class78Tractor,mixed heavy truck category representing general semi trucks without specific subtype
freight,T7 POAK Class 8,Class78Tractor,port drayage trucks moving containers to and from the Port of Oakland
freight,T7 Other Port Class 8,Class78Tractor,port drayage trucks at other ports moving shipping containers locally
freight,PTO,Class78Tractor,work trucks with equipment like cement mixers bucket trucks or utility trucks using engine power to run machinery
passenger,LDA,Car,passenger cars like sedans used for personal travel
passenger,LDT1,Car,small SUVs and pickup trucks used for personal travel
passenger,LDT2,Car,larger SUVs and pickup trucks used for personal travel
passenger,MCY,Bike,motorcycles used for personal travel
passenger,MDV,Car,large vans and pickups sometimes used as personal vehicles
transit,UBUS,MediumDutyPassenger,city transit buses used for public transportation with frequent stops
other,SBUS,,yellow school buses transporting students
other,OBUS,,airport shuttles hotel shuttles corporate campus buses small private buses
other,All Other Buses,,same as OBUS but running on natural gas often used by shuttle fleets
other,Motor Coach,,long-distance buses like Greyhound charter buses and tour buses used on highways
other,MH,,recreational vehicles RVs camper vans motorhomes used for leisure travel
other,T6 Public Class 4,,small government trucks like maintenance pickups and service trucks used by cities
other,T6 Public Class 5,,medium government trucks like small dump trucks and maintenance vehicles
other,T6 Public Class 6,,larger municipal trucks like street repair trucks and utility service trucks
other,T6 Public Class 7,,heavy municipal trucks like large dump trucks snow plows and infrastructure vehicles
other,T6 Utility Class 5,,utility company trucks like bucket trucks for power line maintenance
other,T6 Utility Class 6,,larger utility trucks for electrical telecom or infrastructure repair
other,T6 Utility Class 7,,heavy utility trucks like crane trucks and major repair vehicles
other,T7 Public Class 8,,large government trucks like heavy dump trucks snow plows and construction vehicles
other,T7 Utility Class 8,,heavy utility trucks like large cranes transformer transport trucks and infrastructure service vehicles
other,T7 SWCV Class 8,,garbage trucks refuse collection trucks operating on local routes with frequent stops
