vehicleCategory,operation_days_per_year
LDA,347
LDT1,347
LDT2,347
MDV,347
MH,327
MCY,347
LHD1,327
LHD2,327
T6 Public Class 4,312
T6 Public Class 5,312
T6 Public Class 6,312
T6 Public Class 7,312
T6 Utility Class 5,312
T6 Utility Class 6,312
T6 Utility Class 7,312
T6 Instate Tractor Class 6,312
T6 Instate Delivery Class 4,312
T6 Instate Delivery Class 5,312
T6 Instate Delivery Class 6,312
T6 Instate Other Class 4,312
T6 Instate Other Class 5,312
T6 Instate Other Class 6,312
T6 Instate Tractor Class 7,312
T6 Instate Delivery Class 7,312
T6 Instate Other Class 7,312
T6 CAIRP Class 4,312
T6 CAIRP Class 5,312
T6 CAIRP Class 6,312
T6 CAIRP Class 7,312
T6 OOS Class 4,312
T6 OOS Class 5,312
T6 OOS Class 6,312
T6 OOS Class 7,312
T6TS,327
T7 Public Class 8,312
PTO,312
T7 CAIRP Class 8,312
T7 Utility Class 8,312
T7 NNOOS Class 8,312
T7 NOOS Class 8,312
T7 Other Port Class 8,312
T7 POAK Class 8,312
T7 POLA Class 8,312
T7 Single Concrete/Transit Mix Class 8,312
T7 Single Dump Class 8,312
T7 Single Other Class 8,312
T7 Tractor Class 8,312
T7 SWCV Class 8,312
T7IS,327
SBUS,327
UBUS,327
Motor Coach,292
OBUS,327
