domain,source_value,alternative_value,priority
atlas,car,car,1
atlas,suv,suv,1
atlas,suv,car,2
atlas,suv,truck,3
atlas,truck,truck,1
atlas,truck,suv,2
atlas,truck,minvan,3
atlas,van,minvan,1
atlas,van,truck,2
atlas,minvan,minvan,1
atlas,minvan,truck,2
atlas,minvan,van,3
fuel,Elec,Elec,1
fuel,Elec,Phe,2
fuel,Phe,Phe,1
fuel,Phe,Elec,2
fuel,Gas,Gas,1
fuel,Gas,Dsl,2
fuel,Dsl,Dsl,1
fuel,Dsl,Gas,2
class,Class456Vocational,Class456Vocational,1
class,Class456Vocational,Class78Vocational,2
class,Class78Vocational,Class78Vocational,1
class,Class78Vocational,Class456Vocational,2
class,Class78Vocational,Class78Tractor,3
class,Class78Tractor,Class78Tractor,1
class,Class78Tractor,Class78Vocational,2
class,Car,Car,1
class,Bike,Bike,1
class,MediumDutyPassenger,MediumDutyPassenger,1
