mapping_group,source_value,target_value
emfac-ft,T6 CAIRP Class 4,Class456Vocational
emfac-ft,T6 CAIRP Class 5,Class456Vocational
emfac-ft,T6 CAIRP Class 6,Class456Vocational
emfac-ft,T6 CAIRP Class 7,Class78Tractor
emfac-ft,T6 Instate Delivery Class 4,Class456Vocational
emfac-ft,T6 Instate Delivery Class 5,Class456Vocational
emfac-ft,T6 Instate Delivery Class 6,Class456Vocational
emfac-ft,T6 Instate Delivery Class 7,Class78Vocational
emfac-ft,T6 Instate Other Class 4,Class456Vocational
emfac-ft,T6 Instate Other Class 5,Class456Vocational
emfac-ft,T6 Instate Other Class 6,Class456Vocational
emfac-ft,T6 Instate Other Class 7,Class78Vocational
emfac-ft,T6 Instate Tractor Class 6,Class456Vocational
emfac-ft,T6 Instate Tractor Class 7,Class78Tractor
emfac-ft,T6 OOS Class 4,Class456Vocational
emfac-ft,T6 OOS Class 5,Class456Vocational
emfac-ft,T6 OOS Class 6,Class456Vocational
emfac-ft,T6 OOS Class 7,Class78Vocational
emfac-ft,T7 CAIRP Class 8,Class78Tractor
emfac-ft,T7 NNOOS Class 8,Class78Vocational
emfac-ft,T7 NOOS Class 8,Class78Vocational
emfac-ft,T7 Single Concrete/Transit Mix Class 8,Class78Vocational
emfac-ft,T7 Single Dump Class 8,Class78Vocational
emfac-ft,T7 Single Other Class 8,Class78Vocational
emfac-ft,T7 Tractor Class 8,Class78Tractor
emfac-ft,T7IS,Class78Tractor
emfac-pax,LDA,Car
emfac-pax,LDT1,Car
emfac-pax,LDT2,Car
emfac-pax,MCY,Bike
emfac-pax,MDV,Car
emfac-bus,UBUS,MediumDutyPassenger
